id,x,y
539,23.2278,-2.68589
541,29.1851,-2.8082
542,29.1324,-2.85158
543,29.3004,-2.52385
544,28.1973,-2.54432
545,34.988,-2.63066
546,35.2821,-2.74907
547,35.1744,-2.4914
548,34.0096,-2.48095
549,41.0598,-2.60302
550,41.1344,-2.6633
551,41.2367,-2.37169
552,39.9315,-2.4451
553,49.692,-2.51933
554,49.8312,-2.60508
555,49.579,-2.2867
557,53.2551,-2.09373
558,53.3866,-2.4906
559,53.4977,-2.18779
560,52.5197,-2.16665
561,58.6686,-2.16522
562,59.0923,-2.35051
563,59.1748,-2.10594
564,58.037,-2.08339
565,65.121,-2.27438
566,65.036,-2.22616
567,65.0718,-1.96524
568,64.0231,-1.98107
569,70.8448,-1.97321
570,70.9224,-2.1903
571,71.1984,-1.88639
573,77.1084,-1.96961
574,77.0061,-2.04302
575,77.2716,-1.76768
577,82.5109,-1.91229
578,82.5351,-2.00885
579,82.6289,-1.69117
580,81.3817,-1.72022
581,88.2756,-1.72262
582,88.4893,-1.83777
583,88.5603,-1.53031
584,87.4483,-1.6465
585,94.1015,-1.59333
586,94.5708,-1.79852
587,94.528,-1.52053
588,93.2076,-1.64167
589,102.717,-1.51524
590,102.869,-1.70448
591,102.915,-1.27822
593,107.388,-1.81467
594,106.604,-1.59574
595,106.893,-1.32549
597,112.389,-1.48778
598,112.419,-1.47229
599,112.497,-1.19443
600,111.297,-1.3042
601,118.196,-1.29145
602,118.459,-1.35186
603,118.468,-1.23426
605,124.06,-1.15818
606,124.416,-1.37646
607,124.411,-1.08346
609,130.305,-1.21406
610,130.453,-1.31264
611,130.512,-0.974531
613,136.472,-1.20697
614,136.358,-1.15694
615,136.455,-0.905718
616,135.29,-0.891895
617,142.432,-1.09857
618,142.532,-1.15582
619,142.488,-0.830332
621,149.75,-0.909572
622,149.864,-1.07714
623,149.925,-0.622518
624,148.823,-1.35749
