id,x,y
209,-0.614198,0.826114
211,-0.532817,0.873233
212,2.80968,3.4617
213,1.11386,5.34353
215,6.96582,1.15599
216,8.68915,4.01384
217,8.13002,4.63611
219,12.9509,1.38433
220,13.7164,5.3422
221,13.9176,5.26493
223,18.9942,1.82048
224,20.2924,4.43178
225,19.79,5.21981
227,24.7902,1.88828
228,26.9034,4.23693
229,25.7573,5.85826
231,30.7986,1.71043
232,32.0206,5.21199
233,31.995,5.46132
235,36.7367,2.19363
236,38.4786,4.82996
237,36.9715,6.588
239,42.63,1.62969
240,44.1311,3.84839
241,42.8297,5.65027
243,48.0298,2.25996
244,47.9632,4.71018
245,46.4593,6.28985
247,51.9106,2.19132
248,56.439,4.95925
249,55.9944,5.62273
251,60.6179,2.60701
252,62.0565,5.89541
253,62.1525,5.89083
255,66.6099,2.0858
256,68.3966,5.21678
257,68.0935,5.83987
259,72.615,2.73011
260,74.4781,4.93828
261,73.029,6.7207
263,78.314,2.80968
264,80.2194,5.29979
265,79.0118,6.76937
267,84.2708,2.72354
268,86.268,5.27396
269,85.7191,6.20216
271,90.2935,2.79174
272,92.1194,5.64106
273,90.7502,7.35438
275,96.3207,2.51718
276,97.6791,4.96315
277,96.7801,6.43541
279,101.88,3.18088
280,102.37,5.10484
281,100.972,6.91015
283,105.722,2.87563
284,110.16,5.76208
285,109.84,6.37325
287,114.458,3.12088
288,116.484,5.44674
289,115.14,7.27545
291,120.392,3.37898
292,121.394,6.78774
293,121.062,7.29867
312,0.0529625,0.836161
314,-0.0890012,0.84839
316,1.41654,3.85218
318,3.39788,0.900513
320,6.23081,5.29158
321,7.08051,4.7006
322,9.6543,1.10773
324,11.6398,6.18859
326,15.3972,1.34532
328,18.266,5.47954
329,20.8532,2.61744
330,21.4417,1.36143
332,24.0131,5.75961
334,27.2523,1.53108
336,30.4251,5.55134
337,32.4829,3.24217
338,33.3094,1.50715
340,35.8081,6.21072
342,39.2981,2.06654
344,44.1187,5.84892
346,47.6253,1.84487
348,49.1439,5.16759
349,49.2766,5.20441
350,51.4348,1.8039
352,53.5495,6.26251
353,54.5038,5.45907
354,57.538,2.13143
356,59.8612,6.50145
357,61.315,5.17322
358,63.5105,2.57169
360,67.8175,4.2464
362,69.4569,2.15824
364,72.2128,6.08366
365,72.8927,5.77875
366,75.971,2.49406
368,78.0531,6.17273
370,80.5438,2.38086
372,84.2734,6.24201
373,85.7839,4.39287
374,86.9409,2.49233
376,90.002,6.27451
378,92.9956,2.9833
380,98.5171,6.08578
381,100.291,4.32659
382,101.048,2.77726
384,103.052,5.81061
385,103.797,5.40814
386,105.188,2.72901
388,107.423,7.38989
389,109.472,4.99126
390,110.714,2.60849
392,113.352,7.01619
393,115.125,5.54958
394,116.611,2.84518
396,119.365,7.2503
397,120.834,6.44581
398,122.994,3.41827
400,124.369,8.72054
418,0.0862707,1.92861
421,5.17336,3.90738
423,5.66204,2.4197
425,11.2045,4.03452
427,12.2316,2.55194
429,17.0095,4.86105
431,18.0491,2.67494
