time,x,y,theta
1753880271.983815,145.885037,-0.386952,-0.073913
1753880272.099137,146.028246,-0.391780,-0.072081
1753880272.205280,146.169489,-0.391248,-0.088682
1753880272.308983,146.308544,-0.390095,-0.093048
1753880272.405795,146.443082,-0.398224,-0.092645
1753880272.503182,146.582348,-0.398866,-0.103706
1753880272.604717,146.724585,-0.405679,-0.101644
1753880272.687763,146.847138,-0.400903,-0.134011
1753880272.784657,146.988190,-0.413030,-0.103390
1753880272.905770,147.108954,-0.412326,-0.122703
1753880273.013484,147.212387,-0.412764,-0.138978
1753880273.207994,147.297497,-0.414731,-0.133766
1753880273.294485,147.384766,-0.420664,-0.121867
1753880273.607204,147.466268,-0.422711,-0.059264
1753880273.717571,147.537387,-0.428177,-0.025167
1753880274.099827,147.617880,-0.428115,-0.002399
1753880274.313560,147.708634,-0.435817,-0.002476
1753880274.421472,147.781470,-0.442056,0.012975
1753880274.498584,147.867045,-0.441724,0.006802
1753880274.622278,147.968602,-0.434858,0.029752
1753880274.749892,148.050971,-0.437076,0.012688
1753880274.862806,148.134420,-0.440370,0.055161
1753880274.998413,148.224317,-0.420082,-0.113774
1753880275.040669,148.313969,-0.442304,-0.004419
1753880275.200469,148.388930,-0.441953,-0.017500
1753880275.243330,148.452789,-0.424425,-0.164889
1753880275.321542,148.485483,-0.417111,-0.319537
1753880275.509309,148.660357,-0.430306,-0.000694
1753880275.610758,148.758370,-0.436204,0.048820
1753880275.831085,148.850395,-0.420813,-0.001693
1753880275.902516,148.940676,-0.402742,-0.005371
1753880276.021492,149.056878,-0.407222,-0.005441
1753880276.099568,149.143081,-0.452138,-0.038301
1753880276.208151,149.242720,-0.429216,-0.042033
1753880276.304814,149.359189,-0.407143,-0.015316
1753880276.401568,149.459755,-0.419353,-0.022737
1753880276.524599,149.564542,-0.420370,-0.020603
1753880276.581457,149.661979,-0.402600,-0.000399
1753880276.712648,149.739263,-0.415303,-0.006309
1753880276.920739,149.801564,-0.417358,-0.014305
1753880277.224623,149.880919,-0.418798,-0.016250
1753880277.391681,149.962925,-0.418736,-0.022938
1753880277.513734,150.036587,-0.418934,-0.021519
1753880277.607063,150.112822,-0.419295,-0.023977
1753880277.682820,150.184317,-0.425042,-0.026511
1753880277.983663,150.258071,-0.429988,-0.043124
1753880278.507273,150.330736,-0.427400,-0.040354
1753880278.653516,150.401134,-0.431471,-0.040972
1753880279.419940,150.489421,-0.433961,-0.049163
1753880279.568240,150.572077,-0.435703,-0.048724
1753880279.680009,150.661575,-0.428914,-0.049103
1753880279.783189,150.760065,-0.428886,-0.050839
1753880279.886208,150.858436,-0.434491,-0.054545
1753880280.025450,150.974694,-0.422699,-0.049410
1753880280.087645,151.082405,-0.427672,-0.054066
1753880280.127369,151.198966,-0.428525,-0.053921
1753880280.207554,151.309316,-0.429017,-0.064324
1753880280.311201,151.427855,-0.409857,-0.052672
1753880280.407378,151.540354,-0.403379,-0.008447
1753880280.538006,151.585250,-0.417785,0.027272
1753880280.614785,151.677267,-0.414057,0.007245
1753880280.832921,151.740554,-0.397284,0.021895
1753880280.912257,151.809675,-0.410864,0.030043
1753880281.374870,151.871702,-0.404968,0.063934
1753880281.429398,151.943844,-0.398843,0.074542
1753880281.533088,152.015343,-0.390909,0.092612
1753880281.699468,152.096659,-0.379451,0.116852
1753880281.803878,152.176114,-0.365115,0.159641
1753880281.898367,152.229945,-0.346670,0.186625
1753880282.001819,152.305823,-0.326865,0.212302
1753880282.131072,152.389735,-0.307516,0.251121
1753880282.309729,152.455658,-0.282386,0.317737
1753880282.326136,152.527795,-0.248199,0.339684
1753880282.518605,152.620060,-0.208799,0.410121
1753880282.827426,152.696505,-0.177047,0.516403
1753880282.909607,152.775619,-0.131254,0.551663
1753880283.003999,152.828670,-0.094438,0.595162
1753880283.239387,152.901168,-0.048604,0.644874
1753880283.318213,152.977936,-0.007215,0.677842
1753880283.408865,153.044746,0.049352,0.723190
1753880283.515160,153.108492,0.092917,0.770722
1753880283.609307,153.159595,0.140322,0.804649
1753880283.717665,153.220262,0.191337,0.840570
1753880283.812221,153.275369,0.244343,0.874627
1753880283.911315,153.320457,0.302267,0.914902
1753880284.016672,153.392176,0.368296,0.971261
1753880284.113892,153.426383,0.429815,1.040926
1753880284.342877,153.431633,0.472576,1.088854
1753880284.415038,153.477990,0.544364,1.106028
1753880284.517824,153.530334,0.605367,1.138110
1753880284.635654,153.572084,0.680119,1.187391
1753880284.717488,153.582560,0.720205,1.220263
1753880284.818411,153.617760,0.789530,1.238024
1753880284.917288,153.648227,0.853445,1.265210
1753880285.017772,153.680882,0.921644,1.299363
1753880285.105828,153.708683,0.987635,1.331314
1753880285.219124,153.742397,1.066956,1.378054
1753880285.323298,153.752924,1.126182,1.439630
1753880285.421408,153.766420,1.187744,1.461768
1753880285.526666,153.790895,1.256571,1.485345
1753880285.620744,153.792706,1.322312,1.529298
1753880285.704216,153.792825,1.380438,1.561097
1753880285.806912,153.804895,1.445083,1.584732
1753880285.926527,153.805159,1.509117,1.607277
1753880286.017117,153.799786,1.567420,1.618494
1753880286.133838,153.805680,1.629298,1.611807
1753880286.256099,153.805759,1.696804,1.613401
1753880286.306950,153.798715,1.768312,1.617371
1753880286.414603,153.796953,1.834003,1.619406
1753880286.509979,153.794089,1.902193,1.630176
1753880286.898774,153.780773,1.971481,1.633461
1753880287.037337,153.782661,2.061894,1.631514
1753880287.181412,153.769163,2.135746,1.632730
1753880287.273795,153.760860,2.222944,1.636134
1753880287.314818,153.755117,2.301078,1.631024
1753880287.414595,153.757801,2.396339,1.628560
1753880287.523726,153.732706,2.476410,1.630044
1753880287.630486,153.729682,2.567268,1.623578
1753880287.716054,153.726462,2.650711,1.623231
1753880287.825829,153.712028,2.735710,1.631986
1753880287.920833,153.705473,2.821248,1.648416
1753880288.644162,153.699974,2.895199,1.766402
1753880288.824522,153.678856,2.963400,1.827282
1753880288.924811,153.691407,3.026790,1.879651
1753880289.023468,153.663811,3.079105,1.916932
1753880289.258724,153.794820,3.061006,2.020130
1753880289.357498,153.811324,3.107863,2.050645
1753880289.438941,153.846948,3.154135,2.090911
1753880289.613706,153.875843,3.192185,2.132782
1753880289.702489,153.896890,3.213952,2.166781
1753880289.784684,153.883214,3.237066,2.171685
1753880290.017561,153.893840,3.275409,2.167254
1753880290.077163,153.906581,3.311314,2.167935
1753880290.269573,153.906997,3.352413,2.177083
1753880290.335638,153.927692,3.404764,2.184377
1753880290.426620,153.915994,3.438224,2.178777
1753880290.604484,153.935050,3.502863,2.193949
1753880290.731478,153.903388,3.528353,2.184388
1753880290.948395,153.910586,3.585561,2.199897
1753880291.142700,153.884363,3.619330,2.185905
1753880291.238797,153.872775,3.665333,2.190804
1753880291.350556,153.854999,3.709868,2.195379
1753880291.476285,153.858874,3.752666,2.197040
1753880291.655753,153.865205,3.788955,2.230868
1753880291.831580,153.830663,3.817880,2.290018
1753880292.073986,153.836636,3.857629,2.341644
1753880292.269399,153.823180,3.890658,2.406849
1753880292.383752,153.807630,3.933602,2.437619
1753880292.494087,153.782055,3.967510,2.446484
1753880292.704503,153.755224,4.001127,2.510188
1753880292.730045,153.750301,4.061719,2.578829
1753880293.067162,153.693059,4.002305,2.557404
1753880293.130921,153.681545,4.028105,2.597732
1753880293.299433,153.648148,4.030008,2.615599
1753880293.439956,153.623104,4.057215,2.670751
1753880293.533452,153.587033,4.018840,2.624164
1753880293.853622,153.578806,4.113327,2.740481
1753880294.057667,153.543369,4.136049,2.748540
1753880294.356614,153.484330,4.110127,2.735042
1753880294.540710,153.445260,4.122736,2.795987
1753880294.648553,153.421274,4.203778,2.904637
1753880294.739667,153.366106,4.194961,2.887696
1753880294.846097,153.319429,4.185711,2.877335
1753880295.054846,153.277510,4.262024,3.009867
1753880295.257484,153.223537,4.271481,3.026476
1753880295.344035,153.175345,4.293642,3.045216
1753880296.274094,153.124742,4.326309,3.030720
1753880296.450515,153.068590,4.359787,3.032243
1753880296.635348,153.005110,4.380652,3.025630
1753880296.741020,152.942485,4.380433,2.975084
1753880296.841806,152.894994,4.427218,3.025924
1753880297.109273,152.814906,4.454937,3.034279
1753880297.185214,152.755048,4.474580,3.037752
1753880297.241772,152.696425,4.495112,3.044709
1753880297.339816,152.641095,4.513175,3.031568
1753880297.543984,152.555160,4.543510,3.040632
1753880297.744132,152.488087,4.554848,3.026380
1753880297.855431,152.417766,4.578734,3.029310
1753880297.955102,152.349686,4.597054,3.035274
1753880298.056924,152.285715,4.606221,3.014055
1753880298.268198,152.201475,4.616486,3.010992
1753880298.327990,152.116668,4.644162,3.035930
1753880298.432185,152.057050,4.677652,3.084877
1753880298.575339,151.975254,4.674279,3.022574
1753880298.803685,151.890798,4.690970,3.018578
1753880298.877040,151.820960,4.706214,3.023076
1753880298.957349,151.750282,4.720661,3.018037
1753880299.058313,151.675253,4.735403,3.018080
1753880299.263663,151.600484,4.749557,3.022244
1753880299.442393,151.514539,4.755268,3.021199
1753880299.539244,151.440751,4.771332,3.018839
1753880299.638261,151.374682,4.783165,3.009306
1753880299.737820,151.308901,4.787407,3.003440
1753880300.364757,151.220540,4.795060,3.028048
1753880300.447093,151.139038,4.809906,3.059212
1753880300.561437,151.059320,4.817561,3.077056
1753880300.651089,150.950113,4.810946,3.068665
1753880300.827866,150.862031,4.821289,3.065248
1753880300.926765,150.777353,4.834184,3.069467
1753880301.028987,150.666415,4.827389,3.046340
1753880301.106135,150.568579,4.833153,3.059526
1753880301.220476,150.471431,4.831972,3.076148
1753880301.323255,150.362824,4.839793,3.086934
1753880301.401047,150.263424,4.804584,3.040697
1753880301.489884,150.173099,4.826844,3.066228
1753880301.550969,150.071561,4.808239,3.031253
1753880301.977509,149.991835,4.841299,3.084162
1753880302.040624,149.915937,4.835122,3.095807
1753880302.174749,149.832128,4.804621,3.073838
1753880302.257330,149.748389,4.817177,3.095655
1753880302.473253,149.667698,4.834027,3.114877
1753880302.643937,149.584201,4.806817,3.084173
1753880302.738653,149.492677,4.820992,3.110449
1753880302.859482,149.406725,4.832745,3.119848
1753880302.951330,149.328554,4.829963,3.104292
1753880303.043561,149.252813,4.831025,3.105723
1753880303.151080,149.163305,4.850125,3.121343
1753880303.275808,149.072944,4.892730,-3.109271
1753880303.381239,149.007057,4.941531,-3.039219
1753880303.508976,148.916260,5.025983,-2.930646
1753880303.655430,148.829864,4.922061,3.126288
1753880303.849188,148.747446,4.943440,-3.139786
1753880303.956994,148.674374,4.945925,-3.139978
1753880304.050806,148.589304,4.955890,-3.129068
1753880304.152735,148.514050,4.950980,-3.100212
1753880304.257173,148.444808,4.938158,-3.128272
1753880304.375504,148.352162,4.939096,-3.132418
1753880305.321509,148.271555,4.938632,-3.127252
1753880305.459333,148.189907,4.933350,3.134571
1753880305.559815,148.099516,4.926689,3.123265
